x_coordinate,y_coordinate,month,week,day_of_week,Predicted_CATEGORY
7676953,695449,5,21,Saturday,OTHER
7677728,696250,4,16,Monday,OTHER
7656040,687861,1,4,Sunday,OTHER
7644276,685268,2,8,Monday,STREET CRIMES
7670438,670433,4,14,Tuesday,OTHER
7680615,670938,4,16,Monday,OTHER
7687581,681870,1,3,Saturday,OTHER
7655099,693893,5,19,Thursday,OTHER
7643410,704055,3,11,Saturday,OTHER
7631735,708305,3,10,Saturday,OTHER
7662464,697896,2,8,Tuesday,OTHER
7681790,671870,1,4,Monday,OTHER
7643156,683961,4,14,Tuesday,OTHER
7652253,698181,3,10,Friday,OTHER
7669057,671694,1,3,Monday,OTHER
7679794,683228,5,18,Tuesday,OTHER
7669147,694063,4,15,Thursday,OTHER
7649639,682812,3,12,Saturday,OTHER
7648234,679475,1,1,Tuesday,OTHER
7653890,697197,3,12,Friday,OTHER
7651805,701333,1,3,Tuesday,OTHER
7663419,685875,4,16,Thursday,OTHER
7643572,686984,5,18,Sunday,OTHER
7683784,674288,3,10,Saturday,OTHER
7658660,684626,1,1,Thursday,OTHER
7641594,704666,1,3,Thursday,OTHER
7643135,697822,3,10,Wednesday,OTHER
7639521,705879,5,21,Sunday,OTHER
7680042,691151,4,17,Sunday,OTHER
7672090,687371,3,13,Tuesday,OTHER
7660194,680048,2,7,Sunday,OTHER
7642863,689808,5,21,Wednesday,OTHER
7615859,709236,5,19,Saturday,OTHER
7679089,674574,3,11,Friday,OTHER
7639085,707809,2,8,Saturday,OTHER
7643417,702169,1,4,Saturday,OTHER
7669125,673232,4,14,Monday,OTHER
7657101,689749,5,19,Thursday,OTHER
7628284,656327,3,12,Thursday,OTHER
7678557,683249,1,3,Monday,OTHER
7664122,689303,5,18,Tuesday,OTHER
7674262,687227,1,2,Sunday,OTHER
7643354,690391,5,21,Saturday,OTHER
7643465,701158,5,20,Sunday,OTHER
7648583,698665,1,2,Sunday,OTHER
7684071,676399,1,4,Friday,OTHER
7683989,694597,2,8,Sunday,OTHER
7682561,698558,4,15,Friday,OTHER
7648348,683113,2,5,Wednesday,OTHER
7685510,675756,3,12,Wednesday,STREET CRIMES
7691812,692609,3,11,Thursday,OTHER
7687585,676711,3,10,Wednesday,OTHER
7657808,699754,4,15,Saturday,OTHER
7659442,679885,4,13,Sunday,OTHER
7676021,696415,2,9,Tuesday,OTHER
7639274,687023,3,12,Tuesday,OTHER
7682517,671130,2,7,Monday,OTHER
7647152,688444,3,13,Tuesday,OTHER
7643547,685739,3,12,Friday,OTHER
7642248,683975,1,1,Saturday,OTHER
7657299,689011,1,1,Tuesday,OTHER
7655648,712217,4,17,Tuesday,OTHER
7663422,685928,1,1,Friday,OTHER
7639333,682775,1,2,Wednesday,OTHER
7644810,681017,3,13,Wednesday,OTHER
7643012,700298,1,3,Monday,STREET CRIMES
7648588,676423,2,8,Monday,OTHER
7648690,701966,3,13,Monday,OTHER
7668820,685223,1,1,Tuesday,OTHER
7664365,695676,1,1,Saturday,OTHER
7642955,668852,2,6,Thursday,OTHER
7681083,666548,4,14,Monday,OTHER
7680699,682999,4,17,Tuesday,OTHER
7662708,686719,2,8,Wednesday,OTHER
7674250,702545,3,13,Wednesday,OTHER
7664674,668389,4,13,Saturday,OTHER
7644373,686085,4,17,Wednesday,OTHER
7664078,690902,3,9,Thursday,OTHER
7648476,690974,4,17,Saturday,OTHER
7690523,681408,3,10,Wednesday,OTHER
7674439,696770,4,14,Thursday,OTHER
7659943,693175,1,3,Friday,OTHER
7661374,674528,5,21,Thursday,OTHER
7689116,677869,3,10,Wednesday,OTHER
7638761,696485,4,14,Thursday,OTHER
7681394,666850,1,2,Monday,OTHER
7669338,684876,2,8,Wednesday,OTHER
7647555,709878,2,7,Tuesday,OTHER
7649418,688368,1,5,Monday,OTHER
7653968,688034,3,10,Saturday,OTHER
7682240,683297,2,5,Sunday,OTHER
7643654,667125,1,3,Sunday,STREET CRIMES
7655005,680175,3,12,Tuesday,OTHER
7639435,664058,5,18,Monday,OTHER
7656825,671958,2,6,Tuesday,OTHER
7651516,663986,5,22,Monday,OTHER
7639781,689773,4,16,Friday,OTHER
7691797,676200,2,5,Sunday,OTHER
7675798,683208,4,13,Sunday,OTHER
7666001,670497,2,7,Sunday,OTHER
7646564,684230,3,13,Friday,OTHER
7678995,676315,2,5,Saturday,OTHER
7628438,656010,5,21,Tuesday,OTHER
7678860,668699,5,18,Saturday,OTHER
7641509,683104,3,12,Tuesday,OTHER
7642119,687430,3,11,Wednesday,OTHER
7641452,681765,3,13,Thursday,OTHER
7644157,698370,3,11,Sunday,OTHER
7641452,681765,5,19,Sunday,OTHER
7643710,705921,2,9,Monday,OTHER
7675554,670122,5,21,Monday,OTHER
7680720,695366,4,16,Saturday,OTHER
7665230,672403,5,18,Friday,OTHER
7686778,681784,5,19,Friday,OTHER
7645430,684086,3,12,Wednesday,STREET CRIMES
7669376,675255,3,13,Wednesday,OTHER
7647788,687614,3,12,Wednesday,OTHER
7679701,684067,1,1,Thursday,OTHER
7668777,663175,4,15,Wednesday,OTHER
7647316,687281,2,7,Saturday,OTHER
7680034,691986,3,10,Sunday,OTHER
7629951,707136,3,12,Saturday,OTHER
7665629,672391,5,19,Sunday,OTHER
7634483,708934,5,20,Sunday,OTHER
7678256,677039,1,1,Saturday,OTHER
7643453,683557,3,11,Saturday,OTHER
7653370,675038,5,19,Monday,OTHER
7657767,680216,2,5,Friday,OTHER
7643365,683145,5,18,Thursday,OTHER
7640997,684446,1,4,Friday,OTHER
7644284,686073,4,15,Thursday,STREET CRIMES
7673487,703064,3,10,Friday,OTHER
7650428,688532,4,14,Thursday,OTHER
7668230,671711,5,18,Wednesday,OTHER
7661130,665386,4,14,Friday,OTHER
7673306,671448,5,18,Tuesday,OTHER
7669407,679992,2,6,Friday,OTHER
7638964,684483,3,12,Sunday,STREET CRIMES
7675313,687330,3,13,Wednesday,OTHER
7649553,662614,4,16,Monday,OTHER
7674397,681781,4,15,Wednesday,OTHER
7643155,681020,1,5,Monday,OTHER
7657767,680216,1,2,Wednesday,OTHER
7651302,688644,2,7,Monday,OTHER
7679637,678910,5,22,Monday,OTHER
7640087,704052,2,9,Monday,OTHER
7653062,672644,2,6,Thursday,OTHER
7641851,698752,5,21,Thursday,OTHER
7650579,687362,3,11,Thursday,OTHER
7660362,686374,5,21,Tuesday,OTHER
7650320,687621,1,2,Monday,OTHER
7679624,683572,5,20,Wednesday,OTHER
7643588,677271,1,3,Tuesday,OTHER
7649772,686973,3,10,Monday,OTHER
7630340,707820,1,1,Tuesday,OTHER
7692832,676169,3,12,Tuesday,OTHER
7658883,701985,1,3,Thursday,OTHER
7644796,684488,5,18,Thursday,OTHER
7651434,681975,3,12,Thursday,STREET CRIMES
7674706,698411,5,21,Sunday,OTHER
7679623,680675,4,14,Thursday,OTHER
7657734,668741,5,22,Wednesday,OTHER
7647534,679382,5,21,Friday,OTHER
7684422,694676,4,16,Friday,OTHER
7641988,686521,2,6,Monday,OTHER
7680345,673783,1,4,Friday,OTHER
7642904,681534,2,7,Sunday,OTHER
7689804,682847,4,13,Sunday,STREET CRIMES
7679900,699701,3,12,Saturday,OTHER
7640492,696427,3,10,Friday,OTHER
7648288,690389,3,11,Monday,OTHER
7646340,697991,3,11,Friday,OTHER
7672821,684750,1,1,Tuesday,OTHER
7669754,667642,2,8,Wednesday,OTHER
7652362,686640,1,1,Thursday,OTHER
7641685,686352,5,22,Monday,OTHER
7646644,687575,3,11,Wednesday,OTHER
7659892,669881,1,3,Monday,OTHER
7664698,696993,2,8,Friday,OTHER
7642648,683667,5,19,Monday,OTHER
7639697,685558,4,17,Friday,OTHER
7672051,665296,5,19,Monday,OTHER
7633858,680948,5,21,Tuesday,OTHER
7645228,684152,4,17,Monday,OTHER
7653074,687376,2,8,Wednesday,OTHER
7657047,678062,4,16,Wednesday,OTHER
7679890,673556,2,6,Saturday,OTHER
7640772,686709,4,14,Wednesday,OTHER
7664783,693202,1,1,Wednesday,OTHER
7642226,669769,1,2,Wednesday,OTHER
7648623,707331,5,22,Monday,OTHER
7639777,686133,2,6,Monday,OTHER
7642641,687430,3,10,Monday,OTHER
7676588,679785,4,16,Monday,OTHER
7680011,687212,3,11,Thursday,OTHER
7643586,700429,5,20,Thursday,OTHER
7647270,687238,4,15,Thursday,OTHER
7661822,673205,2,7,Thursday,OTHER
7646764,689221,2,8,Sunday,OTHER
7690031,696887,5,19,Thursday,OTHER
7668952,668976,5,18,Thursday,STREET CRIMES
7644548,684100,2,6,Sunday,OTHER
7643476,699868,5,21,Monday,OTHER
7650000,681884,1,3,Wednesday,OTHER
7645807,687561,5,22,Tuesday,OTHER
7640722,682233,4,16,Saturday,OTHER
7690177,680923,2,5,Wednesday,OTHER
7648472,687017,1,4,Thursday,OTHER
7645024,683753,3,13,Friday,OTHER
7684332,674448,5,18,Monday,OTHER
7673446,696956,3,10,Sunday,OTHER
7641988,686521,4,17,Saturday,OTHER
7650055,685220,3,11,Sunday,OTHER
7654824,685185,3,11,Saturday,OTHER
7650713,707006,4,15,Wednesday,OTHER
7654454,684109,4,17,Tuesday,OTHER
7676786,694879,5,21,Saturday,OTHER
7653173,673144,3,11,Wednesday,OTHER
7691011,676362,1,3,Saturday,OTHER
7649702,694740,5,21,Friday,OTHER
7654829,670638,4,16,Saturday,OTHER
7668688,674708,4,15,Monday,OTHER
7643758,713723,2,8,Friday,OTHER
7669780,670458,5,20,Saturday,OTHER
7674783,683304,1,1,Tuesday,OTHER
7661610,671898,5,21,Wednesday,OTHER
7668446,663915,4,14,Monday,OTHER
7651499,684054,5,18,Tuesday,OTHER
7689689,689910,2,7,Thursday,OTHER
7644938,715721,4,14,Saturday,OTHER
7683708,675875,1,3,Friday,OTHER
7643819,680454,1,3,Saturday,OTHER
7678958,705183,2,7,Tuesday,OTHER
7638381,689644,4,15,Saturday,OTHER
7644327,709641,1,3,Wednesday,OTHER
7657674,680680,3,9,Thursday,OTHER
7647161,693544,3,9,Saturday,OTHER
7671581,668621,2,6,Wednesday,OTHER
7641881,688734,5,19,Friday,OTHER
7653891,674544,4,14,Saturday,OTHER
7644559,683578,5,20,Thursday,OTHER
7622933,708388,4,14,Monday,OTHER
7667002,698147,5,22,Monday,OTHER
7649772,686973,3,12,Friday,OTHER
7643701,698848,1,3,Tuesday,OTHER
7647809,703967,3,9,Friday,OTHER
7674262,687227,2,6,Tuesday,OTHER
7674621,669112,3,13,Monday,STREET CRIMES
7664330,696136,2,8,Friday,OTHER
7657004,692535,2,9,Monday,OTHER
7670654,699991,5,19,Tuesday,OTHER
7687237,692572,3,11,Friday,OTHER
7658867,672969,1,4,Thursday,OTHER
7640281,702120,3,10,Saturday,OTHER
7679701,684067,4,14,Wednesday,OTHER
7669872,693709,2,5,Sunday,OTHER
7658706,668137,5,21,Thursday,OTHER
7647580,685575,5,19,Friday,OTHER
7679345,677945,1,4,Wednesday,OTHER
7665356,688131,2,7,Tuesday,OTHER
7657986,674434,3,11,Monday,OTHER
7640260,666567,5,22,Tuesday,OTHER
7613454,707015,2,8,Friday,OTHER
7672148,684684,2,7,Thursday,OTHER
7641764,687432,4,14,Friday,OTHER
7643967,708809,4,17,Tuesday,OTHER
7628246,711484,4,14,Wednesday,OTHER
7656420,674751,2,5,Saturday,OTHER
7689798,674540,2,8,Friday,OTHER
7673833,681793,3,11,Saturday,OTHER
7671780,669788,3,13,Wednesday,OTHER
7678218,673617,1,4,Thursday,OTHER
7647904,677321,5,18,Saturday,OTHER
7672736,693348,4,15,Sunday,OTHER
7641877,681658,4,14,Monday,OTHER
7657767,680216,2,9,Tuesday,OTHER
7672232,668871,4,13,Saturday,OTHER
7644083,684401,1,1,Wednesday,OTHER
7643518,675129,2,7,Tuesday,OTHER
7682575,662116,2,5,Friday,OTHER
7692327,676790,4,15,Thursday,OTHER
7683641,694455,2,8,Saturday,OTHER
7640087,704052,3,13,Wednesday,OTHER
7643990,668351,4,17,Saturday,OTHER
7671972,695499,3,10,Friday,OTHER
7626626,709892,2,8,Wednesday,OTHER
7638416,663601,4,16,Friday,OTHER
7650970,698262,5,18,Monday,OTHER
7641414,665181,3,11,Monday,OTHER
7688868,681759,4,16,Monday,OTHER
7657790,671999,1,3,Thursday,OTHER
7642250,687041,1,1,Saturday,OTHER
7669121,673076,5,20,Sunday,OTHER
7662627,670498,3,11,Wednesday,OTHER
7650428,688532,3,12,Wednesday,OTHER
7675921,680915,5,19,Saturday,OTHER
7667956,669316,1,4,Tuesday,OTHER
7657767,680216,3,10,Tuesday,OTHER
7673611,667114,3,10,Monday,OTHER
7675633,676533,5,20,Saturday,OTHER
7632025,706809,4,16,Sunday,OTHER
7644378,683680,5,20,Friday,OTHER
7657289,673657,4,17,Friday,OTHER
7662103,669009,3,12,Saturday,OTHER
7647352,681974,3,11,Monday,OTHER
7675348,681891,4,14,Friday,OTHER
7662895,685251,2,6,Tuesday,OTHER
7643288,686573,5,21,Friday,OTHER
7645313,684647,1,2,Friday,STREET CRIMES
7673799,702458,3,12,Sunday,OTHER
7654709,679628,4,17,Thursday,OTHER
7642454,706497,1,1,Tuesday,OTHER
7660755,701235,2,6,Saturday,OTHER
7684741,676070,4,15,Wednesday,OTHER
7657019,679939,4,17,Monday,OTHER
7644078,682175,4,16,Monday,OTHER
7628403,706710,1,3,Wednesday,OTHER
7665375,663080,5,18,Friday,OTHER
7630516,671708,2,6,Tuesday,OTHER
7673269,688310,3,11,Tuesday,OTHER
7638215,707918,1,5,Tuesday,OTHER
7644712,682617,1,5,Monday,OTHER
7650688,677359,5,22,Wednesday,OTHER
7659047,689130,1,4,Monday,OTHER
7636608,661878,4,17,Tuesday,OTHER
7649136,683348,4,15,Tuesday,OTHER
7654095,685191,5,21,Tuesday,OTHER
7663445,667690,3,12,Friday,OTHER
7644712,682617,1,1,Monday,OTHER
7662591,675126,2,7,Monday,OTHER
7645248,718242,3,10,Thursday,STREET CRIMES
7669453,680237,2,6,Sunday,OTHER
7645069,684882,1,3,Saturday,OTHER
7642506,701345,2,7,Friday,OTHER
7643599,687895,5,20,Monday,OTHER
7649566,683020,2,7,Sunday,OTHER
7684223,669710,2,6,Saturday,OTHER
7668054,688654,2,6,Sunday,OTHER
7675092,696653,3,11,Saturday,OTHER
7642845,689830,1,3,Friday,OTHER
7661594,688350,1,2,Wednesday,OTHER
7664665,700227,3,10,Sunday,OTHER
7672047,667640,5,19,Tuesday,OTHER
7650320,687621,5,19,Tuesday,OTHER
7679877,683208,4,16,Monday,OTHER
7649622,697382,3,11,Tuesday,OTHER
7649295,697326,3,13,Monday,STREET CRIMES
7644097,685609,5,20,Saturday,STREET CRIMES
7645672,683709,3,10,Thursday,OTHER
7641157,685953,4,14,Saturday,OTHER
7674601,684787,2,6,Sunday,OTHER
7641911,684910,2,7,Thursday,OTHER
7669332,674627,3,10,Monday,OTHER
7662823,696401,5,18,Thursday,OTHER
7642580,716780,3,11,Friday,OTHER
7643804,683114,1,3,Monday,OTHER
7641988,686521,3,9,Sunday,OTHER
7653360,685311,2,6,Monday,OTHER
7644011,685144,1,4,Sunday,OTHER
7660358,689627,3,12,Sunday,OTHER
7659346,702789,4,13,Sunday,OTHER
7646816,698794,5,18,Friday,OTHER
7645228,684152,1,5,Monday,STREET CRIMES
7644273,683426,1,4,Friday,OTHER
7661710,667746,5,18,Tuesday,OTHER
7667821,677564,5,20,Thursday,OTHER
7644625,710536,5,21,Thursday,STREET CRIMES
7648853,688386,1,1,Thursday,OTHER
7644617,685868,5,20,Tuesday,OTHER
7645815,699374,2,8,Tuesday,OTHER
7692634,677252,3,11,Saturday,OTHER
7662968,678901,5,19,Monday,OTHER
7641303,681640,5,18,Sunday,OTHER
7639776,685093,1,2,Wednesday,OTHER
7673332,671591,4,17,Thursday,OTHER
7650602,697551,3,10,Wednesday,OTHER
7687245,680813,2,7,Thursday,OTHER
7644938,715721,5,22,Monday,OTHER
7683897,667196,3,9,Thursday,OTHER
7661693,672212,4,15,Tuesday,OTHER
7669352,676629,3,10,Monday,OTHER
7668319,666962,3,12,Monday,OTHER
7644733,683030,3,11,Saturday,OTHER
7666852,664469,2,6,Thursday,OTHER
7651817,662422,2,9,Tuesday,OTHER
7637942,667232,2,6,Friday,OTHER
7647352,681974,5,18,Wednesday,OTHER
7684183,683056,5,19,Thursday,OTHER
7646930,693160,5,22,Monday,OTHER
7644434,682306,1,2,Tuesday,OTHER
7650320,687621,1,3,Thursday,OTHER
7647821,680351,5,21,Tuesday,OTHER
7679277,693786,2,9,Tuesday,OTHER
7643224,680840,5,18,Saturday,OTHER
7669586,687156,3,10,Monday,OTHER
7626275,713532,4,14,Friday,OTHER
7666649,674825,4,14,Saturday,OTHER
7686680,681957,5,20,Monday,OTHER
7653810,692620,5,18,Wednesday,OTHER
7646619,680099,2,8,Tuesday,OTHER
7674445,683608,5,21,Friday,OTHER
7649008,704025,5,20,Monday,OTHER
7641290,681424,2,8,Wednesday,OTHER
7652473,688319,3,11,Friday,OTHER
7657750,671216,2,7,Monday,OTHER
7639719,687488,1,3,Monday,OTHER
7677082,676571,2,6,Monday,OTHER
7639390,688343,4,14,Thursday,OTHER
7645306,701475,5,19,Monday,OTHER
7680230,676109,5,21,Tuesday,OTHER
7644183,682192,1,5,Tuesday,OTHER
7643213,683375,5,19,Friday,OTHER
7654798,681430,1,3,Sunday,OTHER
7647035,662820,4,13,Sunday,OTHER
7661041,668637,1,1,Thursday,OTHER
7638305,682849,2,8,Sunday,OTHER
7645219,685967,2,8,Sunday,OTHER
7648853,682317,4,16,Thursday,OTHER
7662701,670469,1,3,Tuesday,OTHER
7640433,686472,1,3,Friday,OTHER
7671602,663084,2,6,Saturday,OTHER
7632164,671433,2,8,Thursday,OTHER
7688880,681595,2,9,Tuesday,OTHER
7647007,690653,3,12,Wednesday,OTHER
7688746,693312,4,14,Monday,STREET CRIMES
7669082,672357,1,2,Friday,OTHER
7640297,686132,3,13,Monday,OTHER
7657585,674663,3,12,Sunday,OTHER
7644481,687089,1,4,Monday,OTHER
7676800,683378,2,9,Monday,OTHER
7642376,685090,3,11,Wednesday,OTHER
7652136,681253,4,17,Friday,OTHER
7654417,700942,1,4,Thursday,OTHER
7656722,698444,5,21,Tuesday,OTHER
7686709,680026,4,17,Saturday,OTHER
7690738,687195,1,1,Monday,OTHER
7649302,676393,1,3,Saturday,OTHER
7672712,667766,4,17,Thursday,OTHER
7679356,673601,4,14,Wednesday,OTHER
7658714,688062,3,12,Sunday,OTHER
7678661,676255,2,9,Tuesday,STREET CRIMES
7650969,688515,3,10,Tuesday,STREET CRIMES
7642529,681687,2,6,Thursday,OTHER
7661134,662551,2,7,Friday,OTHER
7639547,684733,5,18,Saturday,OTHER
7664195,698726,4,17,Friday,STREET CRIMES
7642103,680702,4,16,Tuesday,OTHER
7649462,712018,4,16,Tuesday,OTHER
7652601,677692,2,9,Tuesday,OTHER
7679691,671055,2,8,Saturday,OTHER
7683863,694675,1,2,Friday,OTHER
7653599,701112,1,3,Friday,OTHER
7648573,684537,3,9,Thursday,STREET CRIMES
7653796,680047,1,2,Sunday,OTHER
7652363,684220,4,13,Sunday,OTHER
7673692,666874,3,13,Wednesday,OTHER
7647828,683129,2,8,Tuesday,OTHER
7666873,666305,4,16,Saturday,OTHER
7639914,680810,1,3,Wednesday,OTHER
7641223,683827,1,1,Saturday,OTHER
7630099,696339,4,17,Wednesday,OTHER
7670857,675931,1,1,Monday,OTHER
7676345,681804,3,11,Tuesday,OTHER
7648010,693715,3,11,Friday,OTHER
7648115,679819,2,9,Monday,OTHER
7643430,684075,3,10,Wednesday,OTHER
7668721,682158,2,9,Monday,OTHER
7648892,683876,4,14,Saturday,OTHER
7675869,696534,4,16,Saturday,OTHER
7649506,684791,2,8,Monday,OTHER
7631302,665427,4,17,Sunday,OTHER
7658567,698419,3,10,Monday,OTHER
7666744,696162,5,19,Thursday,OTHER
7645458,701356,5,20,Saturday,OTHER
7683304,675883,5,18,Saturday,OTHER
7654413,700779,5,20,Monday,OTHER
7650970,670512,5,19,Wednesday,OTHER
7658523,679826,2,7,Tuesday,OTHER
7689654,682780,3,11,Sunday,OTHER
7638375,689076,4,14,Friday,OTHER
7651286,661656,5,19,Tuesday,OTHER
7647011,676228,2,6,Thursday,OTHER
7628093,655826,4,16,Wednesday,OTHER
7675420,680531,5,18,Friday,OTHER
7640749,681016,3,13,Tuesday,OTHER
7641514,684911,5,20,Saturday,OTHER
7642077,681312,2,6,Tuesday,OTHER
7657704,679740,5,19,Friday,OTHER
7656252,679978,5,21,Thursday,OTHER
7667330,684281,5,19,Thursday,OTHER
7679151,684146,4,16,Saturday,OTHER
7652452,681748,4,15,Tuesday,OTHER
7648875,675537,2,7,Thursday,OTHER
7644141,682090,1,3,Wednesday,OTHER
7656485,676070,3,13,Monday,OTHER
7687017,681441,2,7,Saturday,OTHER
7661761,683834,2,9,Monday,OTHER
7652393,697885,2,8,Monday,OTHER
7633862,719440,4,17,Saturday,OTHER
7629694,705741,4,17,Tuesday,OTHER
7679890,673556,5,18,Wednesday,OTHER
7645320,718197,2,7,Tuesday,OTHER
7677194,700947,3,12,Friday,OTHER
7679728,676467,3,12,Thursday,OTHER
7656507,661990,4,13,Sunday,OTHER
7666066,688132,2,6,Friday,OTHER
7645133,683631,4,14,Friday,OTHER
7650713,707006,4,14,Thursday,OTHER
7679640,679054,1,3,Monday,OTHER
7647896,713014,2,6,Tuesday,OTHER
7687237,692572,3,12,Thursday,OTHER
7658056,681085,4,15,Sunday,OTHER
7672454,681758,5,22,Monday,OTHER
7639559,704158,3,9,Friday,OTHER
7643713,717537,3,11,Sunday,OTHER
7673556,680946,1,5,Tuesday,OTHER
7685172,681207,5,19,Saturday,STREET CRIMES
7663023,667020,1,1,Saturday,OTHER
7668082,686426,5,22,Tuesday,OTHER
7674576,676524,3,12,Thursday,OTHER
7645048,678157,5,18,Sunday,OTHER
7642506,684440,3,12,Saturday,OTHER
7650130,687548,3,12,Monday,OTHER
7646856,692243,3,12,Wednesday,OTHER
7674965,696782,4,17,Sunday,OTHER
7647075,697690,5,18,Saturday,OTHER
7651165,669847,3,10,Sunday,OTHER
7657898,674564,1,3,Saturday,OTHER
7669481,696750,4,16,Sunday,OTHER
7667002,698147,4,16,Wednesday,STREET CRIMES
7642258,686730,3,12,Tuesday,OTHER
7630181,710229,2,7,Monday,OTHER
7676153,695807,2,7,Thursday,OTHER
7653668,685434,4,17,Friday,OTHER
7633858,680948,5,21,Tuesday,OTHER
7639776,681624,4,15,Saturday,OTHER
7645540,682886,5,21,Friday,OTHER
7630668,707455,5,21,Monday,OTHER
7679572,697403,3,9,Wednesday,OTHER
7668089,676852,4,14,Sunday,OTHER
7643083,675513,5,19,Thursday,OTHER
7631181,658768,4,15,Tuesday,OTHER
7690595,692483,5,20,Monday,OTHER
7677111,695825,1,2,Tuesday,OTHER
7648076,683118,2,8,Friday,OTHER
7647436,696384,2,9,Monday,OTHER
7639054,684627,4,16,Wednesday,OTHER
7669898,694780,2,5,Friday,OTHER
7690177,680923,5,19,Thursday,OTHER
7643547,685739,1,3,Sunday,OTHER
7666546,677329,1,4,Sunday,OTHER
7645253,696812,2,7,Tuesday,OTHER
7639429,677975,5,21,Saturday,OTHER
7643202,682255,4,16,Thursday,OTHER
7668543,693976,1,1,Sunday,OTHER
7688909,683707,4,15,Friday,OTHER
7647706,658883,5,19,Tuesday,OTHER
7643416,685089,2,9,Monday,OTHER
7675048,691460,1,4,Saturday,OTHER
7669581,674568,1,1,Tuesday,OTHER
7680050,683467,2,8,Friday,OTHER
7642119,684569,5,19,Sunday,OTHER
7641714,681562,3,12,Wednesday,OTHER
7680948,676786,3,11,Wednesday,OTHER
7629318,668800,4,14,Monday,OTHER
7650078,680196,1,2,Thursday,OTHER
7689919,690471,3,12,Saturday,OTHER
7648933,679814,3,10,Thursday,OTHER
7669605,687661,1,3,Saturday,STREET CRIMES
7683324,696164,1,3,Tuesday,OTHER
7643373,717939,5,21,Saturday,OTHER
7665802,692527,3,10,Monday,OTHER
7690664,676798,5,19,Friday,OTHER
7671045,663123,1,1,Friday,OTHER
7672337,663107,5,19,Tuesday,OTHER
7668163,695487,1,1,Sunday,OTHER
7645060,694750,1,3,Monday,OTHER
7636528,667010,5,20,Friday,OTHER
7643410,704055,2,6,Monday,OTHER
7644730,682980,3,9,Saturday,OTHER
7669005,694088,4,17,Thursday,OTHER
7639216,684465,2,7,Saturday,STREET CRIMES
7627534,709145,3,10,Tuesday,OTHER
7643706,710309,5,21,Wednesday,OTHER
7688079,676343,3,10,Tuesday,STREET CRIMES
7634751,710385,4,15,Thursday,OTHER
7643508,713923,4,16,Saturday,OTHER
7646357,688376,5,18,Thursday,OTHER
7657808,688144,3,12,Tuesday,OTHER
7650970,670512,2,5,Friday,OTHER
7643461,682148,3,9,Thursday,OTHER
7689633,682577,3,9,Sunday,OTHER
7642623,687246,2,7,Tuesday,OTHER
7680449,673600,2,8,Saturday,OTHER
7641697,686392,3,10,Thursday,OTHER
7636849,680325,2,5,Thursday,OTHER
7681209,691586,5,21,Wednesday,OTHER
7648181,683533,3,10,Saturday,OTHER
7643514,705237,5,18,Tuesday,OTHER
7685097,677057,2,6,Friday,OTHER
7642842,684106,2,9,Monday,OTHER
7650579,687362,1,3,Sunday,OTHER
7661478,679820,3,10,Saturday,OTHER
7666377,694244,1,1,Monday,OTHER
7671057,676664,4,16,Tuesday,OTHER
7646367,682220,1,4,Saturday,OTHER
7679096,673800,1,4,Wednesday,OTHER
7657280,682593,2,7,Tuesday,OTHER
7644801,681035,4,17,Monday,OTHER
7647677,679960,5,19,Tuesday,OTHER
7648845,682057,1,2,Thursday,OTHER
7658620,687827,5,18,Sunday,OTHER
7668467,679191,5,21,Friday,OTHER
7672814,682157,5,20,Thursday,OTHER
7648453,686483,4,17,Wednesday,MOTOR VEHICLE THEFT
7661579,696031,4,16,Tuesday,OTHER
7679747,685125,3,12,Thursday,OTHER
7631806,667488,2,5,Friday,OTHER
7668826,668694,3,12,Wednesday,OTHER
7664230,683193,2,5,Friday,OTHER
7644696,684488,5,19,Friday,OTHER
7676228,676604,3,10,Friday,OTHER
7648933,679814,4,14,Tuesday,OTHER
7630519,710842,3,10,Wednesday,OTHER
7634667,673792,4,13,Saturday,OTHER
7681720,697374,1,1,Friday,OTHER
7664342,664503,3,12,Sunday,OTHER
7643410,704055,4,15,Tuesday,OTHER
7673672,682885,5,19,Thursday,OTHER
7648146,684936,2,5,Saturday,OTHER
7629667,710345,3,11,Saturday,OTHER
7630560,708030,3,13,Friday,OTHER
7648925,705440,3,11,Friday,OTHER
7674200,667568,4,17,Tuesday,OTHER
7668556,663510,3,13,Friday,STREET CRIMES
7669694,677077,2,7,Tuesday,OTHER
7629107,691009,5,18,Tuesday,OTHER
7670459,671217,5,22,Tuesday,OTHER
7643293,717486,4,15,Monday,OTHER
7664113,666661,5,19,Saturday,OTHER
7647528,687527,2,8,Sunday,OTHER
7664799,673443,2,8,Tuesday,OTHER
7619217,688498,3,11,Saturday,OTHER
7635249,664685,4,16,Thursday,OTHER
7647817,688518,2,8,Friday,OTHER
7643397,686895,4,14,Friday,OTHER
7654024,671020,4,14,Thursday,OTHER
7629802,707303,2,8,Thursday,OTHER
7647248,686269,1,4,Thursday,OTHER
7680263,675585,5,21,Friday,OTHER
7657293,679169,2,7,Friday,OTHER
7642749,678079,3,12,Friday,OTHER
7669410,686900,3,11,Saturday,OTHER
7692075,671927,4,15,Wednesday,OTHER
7681952,674851,3,10,Sunday,OTHER
7630220,706524,4,15,Friday,OTHER
7658780,667921,1,1,Wednesday,OTHER
7644010,703357,1,3,Tuesday,OTHER
7639859,687748,2,5,Sunday,OTHER
